source_id,latest_block,agent_risk_state,agent_execution_mode,baseline_notional,agent_notional,baseline_paper_gas_paid_proxy,agent_paper_gas_paid_proxy,avoided_paper_gas_paid_proxy,paper_gas_paid_proxy_reduction,baseline_paper_slippage_proxy,agent_paper_slippage_proxy,avoided_paper_slippage_proxy,paper_slippage_proxy_reduction,baseline_paper_failed_tx_cost_proxy,agent_paper_failed_tx_cost_proxy,avoided_paper_failed_tx_cost_proxy,paper_failed_tx_cost_proxy_reduction,baseline_paper_confirmation_delay_blocks_proxy,agent_paper_confirmation_delay_blocks_proxy,avoided_paper_confirmation_delay_blocks_proxy,paper_confirmation_delay_blocks_proxy_reduction,baseline_paper_execution_cost_proxy,agent_paper_execution_cost_proxy,avoided_paper_execution_cost_proxy,paper_execution_cost_proxy_reduction,baseline_opportunity_capture_proxy,agent_opportunity_capture_proxy,avoided_opportunity_capture_proxy,opportunity_capture_proxy_reduction
19000385_2026-05-01T10:47:30.555457+00:00,19000385,CAUTION,REDUCE_SIZE,1.0,0.5,0.0,0.0,0.0,0.0,0.218816,0.109408,0.109408,0.5,0.0356448,0.0178224,0.0178224,0.5,2.0656976,2.0656976,0.0,0.0,0.46103056,0.23051528,0.23051528,0.5,1.0,0.5,0.5,0.5
19000386_2026-05-01T10:48:31.433439+00:00,19000386,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.0,0.0,0.0,0.0,0.223628,0.111814,0.111814,0.5,0.0370884,0.0185442,0.0185442,0.5,2.0709908,2.0709908,0.0,0.0,0.46781548,0.23390774,0.23390774,0.5,1.0,0.5,0.5,0.5
19000387_2026-05-01T10:49:32.232602+00:00,19000387,CAUTION,REDUCE_SIZE,1.0,0.5,0.0,0.0,0.0,0.0,0.220541,0.1102705,0.1102705,0.5,0.0361623,0.01808115,0.01808115,0.5,2.0675951,2.0675951,0.0,0.0,0.46346281,0.231731405,0.231731405,0.5,1.0,0.5,0.5,0.5
19000388_2026-05-01T10:50:33.106670+00:00,19000388,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.0,0.0,0.0,0.0,0.2095209999999999,0.1047604999999999,0.1047605,0.5000000000000002,0.0328562999999999,0.0164281499999999,0.016428150000000002,0.5000000000000016,2.0554731,2.0554731,0.0,0.0,0.4479246099999998,0.2239623049999999,0.2239623049999999,0.5,1.0,0.5,0.5,0.5
19000389_2026-05-01T10:51:34.052004+00:00,19000389,CAUTION,REDUCE_SIZE,1.0,0.5,0.0,0.0,0.0,0.0,0.2090539999999999,0.1045269999999999,0.10452700000000001,0.5000000000000002,0.0327161999999999,0.0163580999999999,0.016358099999999997,0.5000000000000014,2.0549594,2.0549594,0.0,0.0,0.4472661399999998,0.2236330699999999,0.2236330699999999,0.5,1.0,0.5,0.5,0.5
19000390_2026-05-01T10:52:34.898979+00:00,19000390,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.0,0.0,0.0,0.0,0.209353,0.1046765,0.1046765,0.5,0.0328059,0.01640295,0.01640295,0.5,2.0552883,2.0552883,0.0,0.0,0.44768773,0.223843865,0.223843865,0.5,1.0,0.5,0.5,0.5
19000391_2026-05-01T10:53:35.702961+00:00,19000391,CAUTION,REDUCE_SIZE,1.0,0.5,0.0,0.0,0.0,0.0,0.2091739999999999,0.1045869999999999,0.10458699999999999,0.5000000000000002,0.0327521999999999,0.0163760999999999,0.016376099999999998,0.5000000000000014,2.0550914,2.0550914,0.0,0.0,0.4474353399999999,0.2237176699999999,0.22371767,0.5000000000000001,1.0,0.5,0.5,0.5
19000392_2026-05-01T10:54:24.432449+00:00,19000392,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.0,0.0,0.0,0.0,0.2189799999999999,0.1094899999999999,0.10948999999999999,0.5000000000000002,0.0356939999999999,0.0178469999999999,0.017847,0.5000000000000013,2.065878,2.065878,0.0,0.0,0.4612617999999998,0.2306308999999999,0.2306308999999999,0.5,1.0,0.5,0.5,0.5
19000393_2026-05-01T10:55:25.161571+00:00,19000393,CAUTION,REDUCE_SIZE,1.0,0.5,0.0,0.0,0.0,0.0,0.226535,0.1132675,0.1132675,0.5,0.0379605,0.01898025,0.01898025,0.5,2.0741885,2.0741885,0.0,0.0,0.47191435,0.235957175,0.235957175,0.5,1.0,0.5,0.5,0.5
19000394_2026-05-01T10:56:25.934509+00:00,19000394,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.0,0.0,0.0,0.0,0.2301889999999999,0.1150944999999999,0.11509449999999999,0.5000000000000002,0.0390567,0.01952835,0.01952835,0.5,2.0782079,2.0782079,0.0,0.0,0.4770664899999999,0.2385332449999999,0.238533245,0.5000000000000001,1.0,0.5,0.5,0.5
19000395_2026-05-01T10:57:26.704161+00:00,19000395,CAUTION,REDUCE_SIZE,1.0,0.5,0.0,0.0,0.0,0.0,0.2296289999999999,0.1148144999999999,0.11481449999999999,0.5000000000000002,0.0388887,0.01944435,0.01944435,0.5,2.0775919,2.0775919,0.0,0.0,0.4762768899999999,0.2381384449999999,0.238138445,0.5000000000000001,1.0,0.5,0.5,0.5
19000396_2026-05-01T10:58:27.468504+00:00,19000396,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.0,0.0,0.0,0.0,0.235811,0.1179055,0.1179055,0.5,0.0407433,0.02037165,0.02037165,0.5,2.0843921,2.0843921,0.0,0.0,0.48499351,0.242496755,0.242496755,0.5,1.0,0.5,0.5,0.5
19000397_2026-05-01T10:59:28.409026+00:00,19000397,CAUTION,REDUCE_SIZE,1.0,0.5,0.0,0.0,0.0,0.0,0.2319529999999999,0.1159764999999999,0.11597650000000001,0.5000000000000002,0.0395858999999999,0.0197929499999999,0.019792950000000004,0.5000000000000013,2.0801483,2.0801483,0.0,0.0,0.4795537299999998,0.2397768649999999,0.2397768649999999,0.5,1.0,0.5,0.5,0.5
19000398_2026-05-01T11:00:29.113192+00:00,19000398,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.0,0.0,0.0,0.0,0.2268139999999999,0.1134069999999999,0.11340700000000001,0.5000000000000002,0.0380441999999999,0.0190220999999999,0.019022100000000004,0.5000000000000013,2.0744954,2.0744954,0.0,0.0,0.4723077399999998,0.2361538699999999,0.2361538699999999,0.5,1.0,0.5,0.5,0.5
19000399_2026-05-01T11:01:29.976582+00:00,19000399,CAUTION,REDUCE_SIZE,1.0,0.5,0.0,0.0,0.0,0.0,0.2185939999999999,0.1092969999999999,0.109297,0.5000000000000002,0.0355781999999999,0.0177890999999999,0.0177891,0.5000000000000013,2.0654534,2.0654534,0.0,0.0,0.4607175399999998,0.2303587699999999,0.2303587699999999,0.5,1.0,0.5,0.5,0.5
19000400_2026-05-01T11:02:30.777383+00:00,19000400,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.0,0.0,0.0,0.0,0.2150109999999999,0.1075054999999999,0.10750549999999999,0.5000000000000002,0.0345032999999999,0.0172516499999999,0.017251649999999997,0.5000000000000014,2.0615121,2.0615121,0.0,0.0,0.4556655099999999,0.2278327549999999,0.227832755,0.5000000000000001,1.0,0.5,0.5,0.5
19000401_2026-05-01T11:03:31.642102+00:00,19000401,CAUTION,REDUCE_SIZE,1.0,0.5,0.0,0.0,0.0,0.0,0.2149379999999999,0.1074689999999999,0.10746900000000001,0.5000000000000002,0.0344813999999999,0.0172406999999999,0.017240699999999998,0.5000000000000014,2.0614318000000003,2.0614318000000003,0.0,0.0,0.4555625799999999,0.2277812899999999,0.22778129,0.5000000000000001,1.0,0.5,0.5,0.5
19000402_2026-05-01T11:04:32.487454+00:00,19000402,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.0,0.0,0.0,0.0,0.207388,0.103694,0.103694,0.5,0.0322164,0.0161082,0.0161082,0.5,2.0531268000000003,2.0531268000000003,0.0,0.0,0.4449170800000001,0.22245854,0.22245854000000007,0.5000000000000001,1.0,0.5,0.5,0.5
19000403_2026-05-01T11:05:33.398930+00:00,19000403,CAUTION,REDUCE_SIZE,1.0,0.5,0.0,0.0,0.0,0.0,0.204021,0.1020105,0.1020105,0.5,0.0312063,0.01560315,0.01560315,0.5,2.0494231000000003,2.0494231000000003,0.0,0.0,0.44016961,0.220084805,0.220084805,0.5,1.0,0.5,0.5,0.5
19000404_2026-05-01T11:06:34.185944+00:00,19000404,RECOVERY,RESUME_GRADUALLY,1.0,0.5,0.0,0.0,0.0,0.0,0.1955609999999999,0.0977804999999999,0.0977805,0.5000000000000003,0.0286683,0.01433415,0.01433415,0.5,2.0401171,2.0401171,0.0,0.0,0.42824101,0.214120505,0.214120505,0.5,1.0,0.5,0.5,0.5
19000405_2026-05-01T11:07:34.880848+00:00,19000405,CAUTION,REDUCE_SIZE,1.0,0.5,0.0,0.0,0.0,0.0,0.198006,0.099003,0.099003,0.5,0.0294018,0.0147009,0.0147009,0.5,2.0428066,2.0428066,0.0,0.0,0.43168846,0.21584423,0.21584423,0.5,1.0,0.5,0.5,0.5
